dataset,task,model,metric,val_score,test_score,best_params,n_iter,time_s
Ailerons,regression,MLP,R²,0.8227,0.7561,"{""batch_size"": 256, ""hidden_layer_sizes"": [159, 159, 159, 159], ""learning_rate_init"": 0.000151822937097812}",50,15663.47
house_sales,regression,RandomForest,R²,0.8631,0.879,"{""bootstrap"": true, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": 0.8, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 1534}",50,509.73
house_sales,regression,GBT,R²,0.8769,0.8916,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,240.52
house_sales,regression,XGBoost,R²,0.8796,0.8955,"{""colsample_bylevel"": 0.6639789146619722, ""colsample_bytree"": 0.5000761409953371, ""gamma"": 0.000997657537098848, ""learning_rate"": 0.004532945532181335, ""max_depth"": 7, ""min_child_weight"": 13, ""n_estimators"": 5300, ""reg_alpha"": 3.933978695731316e-08, ""reg_lambda"": 2.4967561817166226, ""subsample"": 0.6181651577572149}",50,39.69
house_sales,regression,MLP,R²,0.8429,0.8641,"{""batch_size"": 256, ""hidden_layer_sizes"": [925, 925, 925, 925, 925, 925], ""learning_rate_init"": 0.005398409048775974}",50,7738.96
superconduct,regression,RandomForest,R²,0.9072,0.8903,"{""bootstrap"": false, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,2519.99
superconduct,regression,GBT,R²,0.9077,0.8873,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.008295026386919662, ""loss"": ""absolute_error"", ""max_depth"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 782, ""subsample"": 0.7270637962496068}",50,610.57
superconduct,regression,XGBoost,R²,0.9081,0.8912,"{""colsample_bylevel"": 0.7068859822763913, ""colsample_bytree"": 0.7823263085890955, ""gamma"": 8.950474284176544e-05, ""learning_rate"": 0.029768355713639946, ""max_depth"": 9, ""min_child_weight"": 2, ""n_estimators"": 3900, ""reg_alpha"": 1.2102258277987269e-08, ""reg_lambda"": 1.3155080678757627, ""subsample"": 0.5698464413954321}",50,542.99
superconduct,regression,MLP,R²,0.8898,0.8734,"{""batch_size"": 256, ""hidden_layer_sizes"": [792, 792, 792, 792, 792, 792, 792], ""learning_rate_init"": 0.0004323400819856085}",50,5720.65
Brazilian_houses,regression,RandomForest,R²,0.9662,0.9947,"{""bootstrap"": false, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.6, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 98}",50,248.19
