dataset,task,model,fold_index,score
MiamiHousing2016,regression,GBT,4,0.9223
MiamiHousing2016,regression,XGBoost,0,0.9286
MiamiHousing2016,regression,XGBoost,1,0.9281
MiamiHousing2016,regression,XGBoost,2,0.9305
MiamiHousing2016,regression,XGBoost,3,0.9247
MiamiHousing2016,regression,XGBoost,4,0.9274
MiamiHousing2016,regression,MLP,0,0.8978
MiamiHousing2016,regression,MLP,1,0.9006
MiamiHousing2016,regression,MLP,2,0.9065
MiamiHousing2016,regression,MLP,3,0.9011
MiamiHousing2016,regression,MLP,4,0.8892
superconduct,regression,RandomForest,0,0.9116
superconduct,regression,RandomForest,1,0.9068
superconduct,regression,RandomForest,2,0.9245
superconduct,regression,RandomForest,3,0.8967
superconduct,regression,RandomForest,4,0.886
superconduct,regression,GBT,0,0.9135
superconduct,regression,GBT,1,0.9055
superconduct,regression,GBT,2,0.9226
superconduct,regression,GBT,3,0.8951
superconduct,regression,GBT,4,0.8805
superconduct,regression,XGBoost,0,0.9105
superconduct,regression,XGBoost,1,0.9033
superconduct,regression,XGBoost,2,0.9232
superconduct,regression,XGBoost,3,0.8955
superconduct,regression,XGBoost,4,0.8775
superconduct,regression,MLP,0,0.8834
superconduct,regression,MLP,1,0.8789
superconduct,regression,MLP,2,0.894
superconduct,regression,MLP,3,0.8882
superconduct,regression,MLP,4,0.8544
fifa,regression,RandomForest,0,0.6396
fifa,regression,RandomForest,1,0.6826
fifa,regression,RandomForest,2,0.6882
fifa,regression,RandomForest,3,0.6377
fifa,regression,RandomForest,4,0.647
fifa,regression,GBT,0,0.6418
fifa,regression,GBT,1,0.6809
fifa,regression,GBT,2,0.6829
fifa,regression,GBT,3,0.6448
fifa,regression,GBT,4,0.6508
fifa,regression,XGBoost,0,0.6515
fifa,regression,XGBoost,1,0.6973
fifa,regression,XGBoost,2,0.6926
fifa,regression,XGBoost,3,0.6559
fifa,regression,XGBoost,4,0.6612
fifa,regression,MLP,0,0.6253
fifa,regression,MLP,1,0.6649
fifa,regression,MLP,2,0.6743
fifa,regression,MLP,3,0.6343
fifa,regression,MLP,4,0.641
Brazilian_houses,regression,RandomForest,0,0.9789
Brazilian_houses,regression,RandomForest,1,0.9963
Brazilian_houses,regression,RandomForest,2,0.9671
Brazilian_houses,regression,RandomForest,3,0.9919
Brazilian_houses,regression,RandomForest,4,0.993
Brazilian_houses,regression,GBT,0,0.9889
Brazilian_houses,regression,GBT,1,0.9993
Brazilian_houses,regression,GBT,2,0.9852
Brazilian_houses,regression,GBT,3,0.9977
Brazilian_houses,regression,GBT,4,0.9962
Brazilian_houses,regression,XGBoost,0,0.9895
Brazilian_houses,regression,XGBoost,1,0.9955
Brazilian_houses,regression,XGBoost,2,0.9821
Brazilian_houses,regression,XGBoost,3,0.9945
Brazilian_houses,regression,XGBoost,4,0.991
Brazilian_houses,regression,MLP,0,0.9924
Brazilian_houses,regression,MLP,1,0.9934
Brazilian_houses,regression,MLP,2,0.9857
Brazilian_houses,regression,MLP,3,0.9912
Brazilian_houses,regression,MLP,4,0.9867
